User:;komputer
IndexName:;TimeSeriesOur
StartDate:;2015-01-15 12:45:35
CalculationTime:;00:22:46
TestCasesNumber:;5
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
MLP;0,5;0;5000;30~30~1;no PCA;Day;Day;Day;0,000786153114626028
Jordan;0,5;0;5000;30~30~1;no PCA;Day;Day;Day;0,000585915600561749
Elman;0,5;0;5000;30~30~1;no PCA;Day;Day;Day;0,000917906919770993
MLP;0,6;0;5000;30~30~1;no PCA;Day;Day;Day;0,000616513755072662
Jordan;0,6;0;5000;30~30~1;no PCA;Day;Day;Day;0,000497641235138419
Elman;0,6;0;5000;30~30~1;no PCA;Day;Day;Day;0,0016796094701773
MLP;0,7;0;5000;30~30~1;no PCA;Day;Day;Day;0,000449647601756901
Jordan;0,7;0;5000;30~30~1;no PCA;Day;Day;Day;0,000443903359142207
Elman;0,7;0;5000;30~30~1;no PCA;Day;Day;Day;0,00193650489852398
MLP;0,8;0;5000;30~30~1;no PCA;Day;Day;Day;0,000440374416993995
Jordan;0,8;0;5000;30~30~1;no PCA;Day;Day;Day;0,000406616068817456
Elman;0,8;0;5000;30~30~1;no PCA;Day;Day;Day;0,002285366984928
MLP;0,9;0;5000;30~30~1;no PCA;Day;Day;Day;0,000381694851864228
Jordan;0,9;0;5000;30~30~1;no PCA;Day;Day;Day;0,000430579044327858
Elman;0,9;0;5000;30~30~1;no PCA;Day;Day;Day;0,00229635611069306
MLP;0,5;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000408662005380899
Jordan;0,5;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000438736213037121
Elman;0,5;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,0517944154082792
MLP;0,6;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000404335641762872
Jordan;0,6;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000432522074600376
Elman;0,6;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,0170151928777914
MLP;0,7;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000408707145719878
Jordan;0,7;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000535146329762397
Elman;0,7;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,0022739336625239
MLP;0,8;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000400605211045104
Jordan;0,8;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000507906390965658
Elman;0,8;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,032118169927905
MLP;0,9;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000418073228866097
Jordan;0,9;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,000484682029934942
Elman;0,9;0,1;5000;30~30~1;no PCA;Day;Day;Day;0,0323207614421056
MLP;0,5;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000415521451376908
Jordan;0,5;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000492795276964239
Elman;0,5;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,0773697079427362
MLP;0,6;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000411704877890719
Jordan;0,6;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000526025936236831
Elman;0,6;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,0667032540617678
MLP;0,7;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000433051714869682
Jordan;0,7;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000500335042162994
Elman;0,7;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,0783718323895101
MLP;0,8;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000456406888761
Jordan;0,8;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000532604881894118
Elman;0,8;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,0788782210573226
MLP;0,9;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000463518137829514
Jordan;0,9;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,000511413501623739
Elman;0,9;0,15;5000;30~30~1;no PCA;Day;Day;Day;0,0793988360256799
MLP;0,5;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,00039160621110081
Jordan;0,5;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,000468645208241232
Elman;0,5;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,0793923265706357
MLP;0,6;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,016319780568794
Jordan;0,6;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,000459259749440947
Elman;0,6;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,0799035834275579
MLP;0,7;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,000420451463852219
Jordan;0,7;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,000562760174278432
Elman;0,7;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,0804251842826767
MLP;0,8;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,0165761255817784
Jordan;0,8;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,000540248550760253
Elman;0,8;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,0809586253101177
MLP;0,9;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,000524767979163032
Jordan;0,9;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,0167685246978415
Elman;0,9;0,2;5000;30~30~1;no PCA;Day;Day;Day;0,0814945508242566
MLP;0,5;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0845080547748237
Jordan;0,5;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0168578223884081
Elman;0,5;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0815042507517
MLP;0,6;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,049594367371284
Jordan;0,6;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0657137882047771
Elman;0,6;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0820204722947737
MLP;0,7;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0501250613729308
Jordan;0,7;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0661767766613202
Elman;0,7;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0825633739193028
MLP;0,8;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0370847759055046
Jordan;0,8;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0501150215086324
Elman;0,8;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,083113621031364
MLP;0,9;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0171286614911037
Jordan;0,9;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0338323543621863
Elman;0,9;0,25;5000;30~30~1;no PCA;Day;Day;Day;0,0836712549726829
MLP;0,5;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0669957615685538
Jordan;0,5;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0836614448285362
Elman;0,5;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,087407960845556
MLP;0,6;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,067451097781111
Jordan;0,6;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0677168451949066
Elman;0,6;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0842208816366558
MLP;0,7;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0847846250014728
Jordan;0,7;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0847854269923344
Elman;0,7;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0889130116648617
MLP;0,8;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0683756139355782
Jordan;0,8;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0683947364422818
Elman;0,8;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0853609293550336
MLP;0,9;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0688592940646145
Jordan;0,9;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,0859372664197891
Elman;0,9;0,3;5000;30~30~1;no PCA;Day;Day;Day;0,090457802879842
